,x_interp,y_interp
495,476.7,100.7
496,477.6,100.9
497,478.6,101.2
498,479.6,101.4
499,480.5,101.7
500,481.5,101.9
501,482.5,102.2
502,483.4,102.3
503,484.4,102.4
504,485.3,102.5
505,486.3,102.6
506,487.3,102.6
507,488.2,102.7
508,489.2,102.8
509,490.2,102.9
510,491.1,103.0
511,492.1,103.1
512,493.1,103.2
513,494.0,103.3
514,495.0,103.3
515,495.9,103.4
516,496.9,103.7
517,497.9,103.9
518,498.8,104.1
519,499.8,104.3
520,500.8,104.5
521,501.7,104.7
522,502.7,105.0
523,503.6,105.2
524,504.6,105.4
525,505.6,105.6
526,506.5,105.8
527,507.5,106.0
528,508.5,106.1
529,509.4,106.2
530,510.4,106.3
531,511.3,106.4
532,512.3,106.5
533,513.3,106.5
534,514.2,106.6
535,515.2,106.7
536,516.2,106.8
537,517.1,106.9
538,518.1,107.0
539,519.1,107.1
540,520.0,107.2
541,521.0,107.3
542,521.9,107.4
543,522.9,107.6
544,523.9,107.8
545,524.8,108.0
546,525.8,108.2
547,526.8,108.4
548,527.7,108.6
549,528.7,108.8
550,529.6,109.0
551,530.6,109.2
552,531.6,109.4
553,532.5,109.6
554,533.5,109.8
555,534.5,110.0
556,535.4,110.2
557,536.4,110.4
558,537.3,110.6
559,538.3,110.8
560,539.3,111.0
561,540.2,111.1
562,541.2,111.3
563,542.2,111.4
564,543.1,111.6
565,544.1,111.7
566,545.1,111.9
567,546.0,112.0
568,547.0,112.2
569,547.9,112.3
570,548.9,112.5
571,549.9,112.7
572,550.8,112.9
573,551.8,113.0
574,552.8,113.2
575,553.7,113.4
576,554.7,113.6
577,555.6,113.8
578,556.6,114.0
579,557.6,114.2
580,558.5,114.4
581,559.5,114.6
582,560.5,114.7
583,561.4,114.9
584,562.4,115.1
585,563.3,115.3
586,564.3,115.4
587,565.3,115.5
588,566.2,115.6
589,567.2,115.8
590,568.2,115.9
591,569.1,116.0
592,570.1,116.1
593,571.1,116.3
594,572.0,116.4
595,573.0,116.6
596,573.9,116.8
597,574.9,117.0
598,575.9,117.2
599,576.8,117.4
600,577.8,117.6
601,578.8,117.9
602,579.7,118.1
603,580.7,118.3
604,581.6,118.4
605,582.6,118.6
606,583.6,118.8
607,584.5,119.0
608,585.5,119.1
609,586.5,119.3
610,587.4,119.5
611,588.4,119.7
612,589.4,119.9
613,590.3,120.0
614,591.3,120.2
615,592.2,120.4
616,593.2,120.6
617,594.2,120.8
618,595.1,120.9
619,596.1,121.1
620,597.1,121.3
621,598.0,121.5
622,599.0,121.7
623,599.9,121.9
624,600.9,122.1
625,601.9,122.3
626,602.8,122.5
627,603.8,122.7
628,604.8,122.9
629,605.7,123.1
630,606.7,123.3
631,607.6,123.4
632,608.6,123.8
633,609.6,124.1
634,610.5,124.4
635,611.5,124.7
636,612.5,125.0
637,613.4,125.3
638,614.4,125.7
639,615.4,125.9
640,616.3,126.0
641,617.3,126.1
642,618.2,126.2
643,619.2,126.3
644,620.2,126.3
645,621.1,126.4
646,622.1,126.5
647,623.1,126.6
648,624.0,126.7
649,625.0,126.8
650,625.9,126.8
651,626.9,126.9
652,627.9,127.0
653,628.8,127.1
654,629.8,127.2
655,630.8,127.3
656,631.7,127.4
657,632.7,127.6
658,633.6,127.7
659,634.6,127.8
660,635.6,127.9
661,636.5,128.0
662,637.5,128.2
663,638.5,128.3
664,639.4,128.4
665,640.4,128.5
666,641.4,128.7
667,642.3,128.8
668,643.3,128.9
669,644.2,129.0
670,645.2,129.2
671,646.2,129.3
672,647.1,129.4
673,648.1,129.5
674,649.1,129.6
675,650.0,129.6
676,651.0,129.7
677,651.9,129.8
678,652.9,129.8
679,653.9,129.9
680,654.8,129.9
681,655.8,130.0
682,656.8,130.1
683,657.7,130.1
684,658.7,130.2
685,659.6,130.3
686,660.6,130.3
687,661.6,130.4
688,662.5,130.5
689,663.5,130.6
690,664.5,130.8
691,665.4,131.0
692,666.4,131.2
693,667.4,131.4
694,668.3,131.6
695,669.3,131.8
696,670.2,132.0
697,671.2,132.2
698,672.2,132.4
699,673.1,132.6
700,674.1,132.8
701,675.1,133.0
702,676.0,133.2
703,677.0,133.4
704,677.9,133.6
705,678.9,133.8
706,679.9,134.1
707,680.8,134.3
708,681.8,134.5
709,682.8,134.7
710,683.7,135.0
711,684.7,135.2
712,685.6,135.4
713,686.6,135.6
714,687.6,135.7
715,688.5,135.8
716,689.5,135.9
717,690.5,136.0
718,691.4,136.1
719,692.4,136.2
720,693.4,136.3
721,694.3,136.4
722,695.3,136.5
723,696.2,136.6
724,697.2,136.8
725,698.2,136.9
726,699.1,137.0
727,700.1,137.1
728,701.1,137.2
729,702.0,137.4
730,703.0,137.7
731,703.9,137.9
732,704.9,138.2
733,705.9,138.4
734,706.8,138.7
735,707.8,138.9
736,708.8,139.2
737,709.7,139.4
738,710.7,139.6
739,711.7,139.9
740,712.6,140.1
741,713.6,140.3
742,714.5,140.6
743,715.5,140.8
744,716.5,141.0
745,717.4,141.2
746,718.4,141.4
747,719.4,141.6
748,720.3,141.7
749,721.3,141.9
750,722.2,142.1
751,723.2,142.3
752,724.2,142.4
753,725.1,142.6
754,726.1,142.8
755,727.1,142.9
756,728.0,143.1
757,729.0,143.3
758,729.9,143.5
759,730.9,143.6
760,731.9,143.8
761,732.8,144.0
762,733.8,144.1
763,734.8,144.1
764,735.7,144.2
765,736.7,144.3
766,737.7,144.4
767,738.6,144.5
768,739.6,144.6
769,740.5,144.7
770,741.5,144.8
771,742.5,144.8
772,743.4,144.9
773,744.4,145.0
774,745.4,145.1
775,746.3,145.2
776,747.3,145.3
777,748.2,145.4
778,749.2,145.6
779,750.2,145.8
780,751.1,145.9
781,752.1,146.1
782,753.1,146.3
783,754.0,146.4
784,755.0,146.6
785,755.9,146.8
786,756.9,146.9
787,757.9,147.1
788,758.8,147.3
789,759.8,147.4
790,760.8,147.6
791,761.7,147.8
792,762.7,147.9
793,763.7,148.1
794,764.6,148.3
795,765.6,148.4
796,766.5,148.6
797,767.5,148.8
798,768.5,148.9
799,769.4,149.1
800,770.4,149.3
801,771.4,149.4
802,772.3,149.6
803,773.3,149.8
804,774.2,149.9
805,775.2,150.1
806,776.2,150.4
807,777.1,150.7
808,778.1,151.0
809,779.1,151.3
810,780.0,151.6
811,781.0,151.9
812,781.9,152.1
813,782.9,152.4
814,783.9,152.7
815,784.8,153.0
816,785.8,153.2
817,786.8,153.3
818,787.7,153.5
819,788.7,153.7
820,789.7,153.8
821,790.6,154.0
822,791.6,154.2
823,792.5,154.3
824,793.5,154.5
825,794.5,154.7
826,795.4,154.9
827,796.4,155.0
828,797.4,155.2
829,798.3,155.3
830,799.3,155.4
831,800.2,155.5
832,801.2,155.6
833,802.2,155.7
834,803.1,155.8
835,804.1,155.9
836,805.1,156.0
837,806.0,156.1
838,807.0,156.2
839,807.9,156.3
840,808.9,156.4
841,809.9,156.5
842,810.8,156.6
843,811.8,156.7
844,812.8,156.9
845,813.7,157.0
846,814.7,157.2
847,815.7,157.4
848,816.6,157.6
849,817.6,157.8
850,818.5,158.0
851,819.5,158.2
852,820.5,158.4
853,821.4,158.6
854,822.4,158.8
855,823.4,159.0
856,824.3,159.2
857,825.3,159.3
858,826.2,159.5
859,827.2,159.7
860,828.2,159.9
861,829.1,160.1
862,830.1,160.3
863,831.1,160.5
864,832.0,160.7
865,833.0,161.0
866,834.0,161.3
867,834.9,161.7
868,835.9,162.0
869,836.8,162.3
870,837.8,162.6
871,838.8,162.9
872,839.7,163.3
873,840.7,163.5
874,841.7,163.7
875,842.6,163.8
876,843.6,164.0
877,844.5,164.1
878,845.5,164.3
879,846.5,164.4
880,847.4,164.6
881,848.4,164.7
882,849.4,164.9
883,850.3,165.0
884,851.3,165.2
885,852.2,165.3
886,853.2,165.4
887,854.2,165.5
888,855.1,165.7
889,856.1,165.8
890,857.1,165.9
891,858.0,166.1
892,859.0,166.2
893,860.0,166.3
894,860.9,166.4
895,861.9,166.6
896,862.8,166.7
897,863.8,166.8
898,864.8,167.0
899,865.7,167.1
900,866.7,167.2
901,867.7,167.4
902,868.6,167.6
903,869.6,167.8
904,870.5,168.1
905,871.5,168.3
906,872.5,168.5
907,873.4,168.7
908,874.4,169.0
909,875.4,169.2
910,876.3,169.4
911,877.3,169.6
912,878.2,169.8
913,879.2,170.1
914,880.2,170.2
915,881.1,170.3
916,882.1,170.5
917,883.1,170.6
918,884.0,170.7
919,885.0,170.8
920,886.0,170.9
921,886.9,171.0
922,887.9,171.1
923,888.8,171.2
924,889.8,171.3
925,890.8,171.4
926,891.7,171.5
927,892.7,171.6
928,893.7,171.7
929,894.6,171.9
930,895.6,172.0
931,896.5,172.3
932,897.5,172.5
933,898.5,172.7
934,899.4,172.9
935,900.4,173.2
936,901.4,173.4
937,902.3,173.6
938,903.3,173.9
939,904.2,174.1
940,905.2,174.3
941,906.2,174.5
942,907.1,174.8
943,908.1,175.1
944,909.1,175.4
945,910.0,175.7
946,911.0,176.1
947,912.0,176.4
948,912.9,176.7
949,913.9,177.1
950,914.8,177.3
951,915.8,177.4
952,916.8,177.5
953,917.7,177.7
954,918.7,177.8
955,919.7,177.9
956,920.6,178.1
957,921.6,178.2
958,922.5,178.3
959,923.5,178.5
960,924.5,178.6
961,925.4,178.8
962,926.4,178.9
963,927.4,179.1
964,928.3,179.3
965,929.3,179.4
966,930.2,179.6
967,931.2,179.8
968,932.2,179.9
969,933.1,180.1
970,934.1,180.3
971,935.1,180.5
972,936.0,180.6
973,937.0,180.8
974,938.0,181.0
975,938.9,181.1
976,939.9,181.3
977,940.8,181.5
978,941.8,181.8
979,942.8,182.1
980,943.7,182.4
981,944.7,182.7
982,945.7,183.0
983,946.6,183.2
984,947.6,183.5
985,948.5,183.7
986,949.5,183.9
987,950.5,184.1
988,951.4,184.3
989,952.4,184.5
990,953.4,184.7
991,954.3,184.8
992,955.3,185.0
993,956.3,185.2
994,957.2,185.4
995,958.2,185.6
996,959.1,185.8
997,960.1,186.0
998,961.1,186.2
999,962.0,186.4
